accuracy,f1,roc_auc,average_precision,train_time,infer_time,seed,model
0.96256,0.417910447761194,0.8292050426853522,0.509311601780569,0.12339520454406738,0.05410957336425781,11,LogisticRegression
0.9776,0.7142857142857143,0.8991036731696443,0.7618565879998029,1.2111079692840576,0.14139366149902344,11,HistGradientBoosting
0.9624,0.39588688946015427,0.8587072217583831,0.5170852494647195,0.11016964912414551,0.02918839454650879,22,LogisticRegression
0.97968,0.7465069860279441,0.9032525451660423,0.7878516173744161,1.3435473442077637,0.16400861740112305,22,HistGradientBoosting
0.96304,0.4151898734177215,0.8213697882325086,0.5184193386453632,0.1273210048675537,0.029195070266723633,33,LogisticRegression
0.97664,0.6970954356846473,0.8983552215098815,0.7708563550245432,1.4633374214172363,0.19753766059875488,33,HistGradientBoosting
0.96304,0.40616966580976865,0.8375166689412612,0.5333632631589883,0.13331198692321777,0.07581353187561035,44,LogisticRegression
0.97728,0.7053941908713693,0.9012414901389475,0.7703252845870512,2.0530812740325928,0.2781858444213867,44,HistGradientBoosting
0.96368,0.4339152119700748,0.8293241595160142,0.5123872946744883,0.14145326614379883,0.0628662109375,55,LogisticRegression
0.97728,0.714859437751004,0.9036798358154803,0.7684489315629233,1.4775073528289795,0.17459917068481445,55,HistGradientBoosting
